Id:,32116
Estación:,ADJUNTAS DEL REFUGIO-ZAC
Posición:,22.6236111111N -103.406666667W
Variable:,Precipitación (mm)
Fecha Inicial:,11/01/1979
Fecha Final:,01/01/2013
No Dato:,nan
Mes,Día,Anio,Datos
06,09,1996,null
06,10,1996,null
06,11,1996,null
06,12,1996,null
06,13,1996,0.0
06,14,1996,14.0
06,15,1996,1.0
06,16,1996,5.0
06,17,1996,2.6
06,18,1996,18.0
06,19,1996,6.8
06,20,1996,0.0
06,21,1996,9.5
06,22,1996,0.0
06,23,1996,0.0
06,24,1996,0.0
06,25,1996,12.0
06,26,1996,2.5
06,27,1996,0.0
06,28,1996,0.0
06,29,1996,0.0
06,30,1996,0.0
07,01,1996,0.0
07,02,1996,0.0
07,03,1996,0.0
07,04,1996,0.0
07,05,1996,6.5
07,06,1996,1.5
07,07,1996,0.0
07,08,1996,1.0
07,09,1996,0.0
07,10,1996,16.5
07,11,1996,3.0
07,12,1996,3.5
07,13,1996,0.0
07,14,1996,0.0
07,15,1996,7.1
07,16,1996,0.0
07,17,1996,0.0
07,18,1996,0.0
07,19,1996,0.0
07,20,1996,0.0
07,21,1996,0.0
07,22,1996,0.0
07,23,1996,0.0
07,24,1996,20.0
07,25,1996,0.0
07,26,1996,0.0
07,27,1996,0.0
07,28,1996,0.0
07,29,1996,0.0
07,30,1996,0.0
07,31,1996,19.0
08,01,1996,0.0
08,02,1996,0.0
08,03,1996,8.0
08,04,1996,2.6
08,05,1996,2.5
08,06,1996,8.7
08,07,1996,0.0
08,08,1996,0.0
08,09,1996,0.0
08,10,1996,9.0
08,11,1996,9.0
08,12,1996,13.0
08,13,1996,6.5
08,14,1996,0.0
08,15,1996,0.0
08,16,1996,1.3
08,17,1996,0.0
08,18,1996,2.6
08,19,1996,0.0
08,20,1996,0.0
08,21,1996,0.0
08,22,1996,0.0
08,23,1996,2.0
08,24,1996,1.7
08,25,1996,6.5
08,26,1996,0.6
08,27,1996,13.0
08,28,1996,12.0
08,29,1996,8.0
08,30,1996,4.0
08,31,1996,5.0
09,01,1996,20.0
09,02,1996,3.8
09,03,1996,8.3
09,04,1996,27.0
09,05,1996,20.0
09,06,1996,1.0
09,07,1996,2.4
09,08,1996,4.2
09,09,1996,0.0
09,10,1996,0.0
09,11,1996,7.5
09,12,1996,29.0
09,13,1996,1.0
09,14,1996,0.0
09,15,1996,0.0
09,16,1996,0.0
09,17,1996,0.0
09,18,1996,0.0
09,19,1996,6.5
09,20,1996,4.2
09,21,1996,1.0
09,22,1996,0.0
09,23,1996,0.0
09,24,1996,0.0
09,25,1996,0.0
09,26,1996,4.2
09,27,1996,15.2
09,28,1996,16.1
09,29,1996,0.0
09,30,1996,0.0
10,01,1996,0.0
10,02,1996,10.2
10,03,1996,19.0
10,04,1996,5.0
10,05,1996,23.0
10,06,1996,8.5
10,07,1996,4.1
10,08,1996,0.0
10,09,1996,0.0
10,10,1996,0.0
10,11,1996,0.0
10,12,1996,0.0
10,13,1996,0.0
10,14,1996,0.0
10,15,1996,0.0
10,16,1996,0.0
10,17,1996,0.0
10,18,1996,0.0
10,19,1996,0.0
10,20,1996,0.0
10,21,1996,0.0
10,22,1996,0.0
10,23,1996,0.0
10,24,1996,0.0
10,25,1996,0.0
10,26,1996,0.0
10,27,1996,0.0
10,28,1996,0.0
10,29,1996,0.0
10,30,1996,0.0
10,31,1996,0.0
11,01,1996,0.0
11,02,1996,0.0
11,03,1996,0.0
11,04,1996,0.0
11,05,1996,0.0
11,06,1996,0.0
11,07,1996,0.0
11,08,1996,0.0
11,09,1996,0.0
11,10,1996,0.0
11,11,1996,0.0
11,12,1996,0.0
11,13,1996,0.0
11,14,1996,0.0
11,15,1996,0.0
11,16,1996,0.0
11,17,1996,0.0
11,18,1996,0.0
11,19,1996,0.0
11,20,1996,0.0
11,21,1996,0.0
11,22,1996,0.0
11,23,1996,0.0
11,24,1996,0.0
11,25,1996,0.0
11,26,1996,1.3
11,27,1996,2.5
11,28,1996,0.0
11,29,1996,0.0
11,30,1996,0.0
12,01,1996,0.0
12,02,1996,0.0
12,03,1996,0.0
12,04,1996,0.0
12,05,1996,0.0
12,06,1996,0.0
12,07,1996,0.0
12,08,1996,0.0
12,09,1996,0.0
12,10,1996,0.0
12,11,1996,0.0
12,12,1996,0.0
12,13,1996,0.0
12,14,1996,0.0
12,15,1996,0.0
12,16,1996,0.0
12,17,1996,0.0
12,18,1996,0.0
12,19,1996,0.0
12,20,1996,0.0
12,21,1996,0.0
12,22,1996,0.0
12,23,1996,0.0
12,24,1996,0.0
12,25,1996,0.0
12,26,1996,0.0
12,27,1996,0.0
12,28,1996,0.0
12,29,1996,0.0
12,30,1996,0.0
12,31,1996,0.0
01,01,1997,0.0
01,02,1997,0.0
01,03,1997,0.0
01,04,1997,0.0
01,05,1997,0.0
01,06,1997,0.0
01,07,1997,16.0
01,08,1997,0.0
01,09,1997,0.0
01,10,1997,0.0
01,11,1997,0.0
01,12,1997,0.0
01,13,1997,0.0
01,14,1997,0.0
01,15,1997,0.0
01,16,1997,0.0
01,17,1997,2.0
01,18,1997,37.0
01,19,1997,22.3
01,20,1997,0.0
01,21,1997,0.0
01,22,1997,0.0
01,23,1997,0.0
01,24,1997,0.0
01,25,1997,0.0
01,26,1997,0.0
01,27,1997,0.0
01,28,1997,0.0
01,29,1997,0.0
01,30,1997,0.0
01,31,1997,1.0
02,01,1997,20.0
02,02,1997,0.0
02,03,1997,0.0
02,04,1997,0.0
02,05,1997,0.0
02,06,1997,0.0
02,07,1997,0.0
02,08,1997,0.0
02,09,1997,0.0
02,10,1997,0.0
02,11,1997,0.0
02,12,1997,0.0
02,13,1997,0.0
02,14,1997,0.0
02,15,1997,0.0
02,16,1997,0.0
02,17,1997,0.0
02,18,1997,0.0
02,19,1997,0.0
02,20,1997,0.0
02,21,1997,0.0
02,22,1997,0.0
02,23,1997,0.0
02,24,1997,0.0
02,25,1997,0.0
02,26,1997,0.0
02,27,1997,0.0
02,28,1997,0.0
03,01,1997,0.0
03,02,1997,0.0
03,03,1997,0.0
03,04,1997,0.0
03,05,1997,0.0
03,06,1997,0.0
03,07,1997,3.5
03,08,1997,0.0
03,09,1997,0.0
03,10,1997,1.5
03,11,1997,0.0
03,12,1997,0.0
03,13,1997,0.0
03,14,1997,0.0
03,15,1997,0.0
03,16,1997,0.0
03,17,1997,0.0
03,18,1997,0.0
03,19,1997,2.0
03,20,1997,0.0
03,21,1997,0.0
03,22,1997,0.0
03,23,1997,0.0
03,24,1997,0.0
03,25,1997,0.0
03,26,1997,0.0
03,27,1997,0.0
03,28,1997,0.0
03,29,1997,0.0
03,30,1997,0.0
03,31,1997,0.0
04,01,1997,0.0
04,02,1997,0.0
04,03,1997,9.0
04,04,1997,4.0
04,05,1997,0.0
04,06,1997,0.0
04,07,1997,1.0
04,08,1997,0.0
04,09,1997,0.0
04,10,1997,0.0
04,11,1997,0.0
04,12,1997,5.0
04,13,1997,17.0
04,14,1997,0.0
04,15,1997,0.0
04,16,1997,0.0
04,17,1997,0.0
04,18,1997,0.0
04,19,1997,0.0
04,20,1997,0.0
04,21,1997,0.0
04,22,1997,0.0
04,23,1997,0.0
04,24,1997,0.0
04,25,1997,0.0
04,26,1997,0.0
04,27,1997,0.0
04,28,1997,0.0
04,29,1997,0.0
04,30,1997,0.0
05,01,1997,0.0
05,02,1997,0.0
05,03,1997,0.0
05,04,1997,0.0
05,05,1997,0.0
05,06,1997,0.0
05,07,1997,7.2
05,08,1997,3.5
05,09,1997,11.0
05,10,1997,3.6
05,11,1997,0.0
05,12,1997,0.0
05,13,1997,0.0
05,14,1997,0.0
05,15,1997,0.0
05,16,1997,0.0
05,17,1997,0.0
05,18,1997,0.0
05,19,1997,0.0
05,20,1997,0.0
05,21,1997,0.0
05,22,1997,2.5
05,23,1997,0.0
05,24,1997,0.0
05,25,1997,0.0
05,26,1997,0.0
05,27,1997,0.0
05,28,1997,4.5
05,29,1997,1.0
05,30,1997,1.7
05,31,1997,0.0
06,01,1997,0.0
06,02,1997,1.0
06,03,1997,0.0
06,04,1997,0.0
06,05,1997,0.0
06,06,1997,0.0
06,07,1997,0.0
06,08,1997,0.0
06,09,1997,0.0
06,10,1997,1.7
06,11,1997,2.5
06,12,1997,0.0
06,13,1997,21.5
06,14,1997,3.0
06,15,1997,0.0
06,16,1997,0.0
06,17,1997,0.0
06,18,1997,2.5
06,19,1997,4.7
06,20,1997,5.2
06,21,1997,28.3
06,22,1997,0.0
06,23,1997,0.0
06,24,1997,0.0
06,25,1997,0.0
06,26,1997,0.0
06,27,1997,0.0
06,28,1997,5.0
06,29,1997,0.0
06,30,1997,0.0
07,01,1997,0.0
07,02,1997,16.4
07,03,1997,0.0
07,04,1997,10.0
07,05,1997,0.0
07,06,1997,0.0
07,07,1997,0.0
07,08,1997,0.0
07,09,1997,0.0
07,10,1997,2.0
07,11,1997,0.0
07,12,1997,0.0
07,13,1997,0.0
07,14,1997,0.0
07,15,1997,0.0
07,16,1997,0.0
07,17,1997,1.0
07,18,1997,28.0
07,19,1997,0.0
07,20,1997,0.0
07,21,1997,2.4
07,22,1997,10.8
07,23,1997,0.0
07,24,1997,0.0
07,25,1997,0.0
07,26,1997,1.2
07,27,1997,11.7
07,28,1997,0.0
07,29,1997,0.0
07,30,1997,12.0
07,31,1997,0.0
08,01,1997,0.0
08,02,1997,0.0
08,03,1997,5.0
08,04,1997,0.0
08,05,1997,0.0
08,06,1997,0.0
08,07,1997,0.6
08,08,1997,1.5
08,09,1997,1.2
08,10,1997,0.0
08,11,1997,0.0
08,12,1997,0.0
08,13,1997,0.2
08,14,1997,3.0
08,15,1997,0.0
08,16,1997,3.2
08,17,1997,0.0
08,18,1997,2.0
08,19,1997,0.0
08,20,1997,0.0
08,21,1997,0.0
08,22,1997,0.0
08,23,1997,0.0
08,24,1997,0.0
08,25,1997,0.0
08,26,1997,1.2
08,27,1997,0.0
08,28,1997,2.0
08,29,1997,2.3
08,30,1997,0.8
08,31,1997,5.0
09,01,1997,0.0
09,02,1997,0.0
09,03,1997,0.0
09,04,1997,0.0
09,05,1997,0.0
09,06,1997,6.0
09,07,1997,8.2
09,08,1997,3.2
09,09,1997,18.0
09,10,1997,0.0
09,11,1997,0.0
09,12,1997,0.0
09,13,1997,0.0
09,14,1997,0.0
09,15,1997,0.0
09,16,1997,0.0
09,17,1997,0.0
09,18,1997,0.0
09,19,1997,0.0
09,20,1997,0.0
09,21,1997,1.0
09,22,1997,0.0
09,23,1997,0.0
09,24,1997,11.5
09,25,1997,1.8
09,26,1997,0.0
09,27,1997,0.0
09,28,1997,0.0
09,29,1997,0.0
09,30,1997,0.0
10,01,1997,0.0
10,02,1997,0.0
10,03,1997,0.0
10,04,1997,1.0
10,05,1997,9.5
10,06,1997,0.0
10,07,1997,0.0
10,08,1997,1.0
10,09,1997,3.5
10,10,1997,4.8
10,11,1997,4.0
10,12,1997,3.6
10,13,1997,1.0
10,14,1997,0.0
10,15,1997,0.0
10,16,1997,0.0
10,17,1997,0.0
10,18,1997,0.0
10,19,1997,0.0
10,20,1997,0.0
10,21,1997,0.0
10,22,1997,0.0
10,23,1997,0.0
10,24,1997,0.0
10,25,1997,0.0
10,26,1997,0.0
10,27,1997,0.0
10,28,1997,0.0
10,29,1997,0.0
10,30,1997,0.0
10,31,1997,0.0
11,01,1997,0.0
11,02,1997,0.0
11,03,1997,0.0
11,04,1997,0.0
11,05,1997,0.0
11,06,1997,6.0
11,07,1997,7.0
11,08,1997,1.0
11,09,1997,0.0
11,10,1997,1.0
11,11,1997,8.6
11,12,1997,6.5
11,13,1997,1.2
11,14,1997,0.0
11,15,1997,0.0
11,16,1997,0.0
11,17,1997,0.0
11,18,1997,0.0
11,19,1997,0.0
11,20,1997,0.0
11,21,1997,0.0
11,22,1997,0.0
11,23,1997,0.0
11,24,1997,0.0
11,25,1997,0.0
11,26,1997,0.0
11,27,1997,0.0
11,28,1997,0.0
11,29,1997,0.0
11,30,1997,0.0
12,01,1997,0.0
12,02,1997,0.0
12,03,1997,0.0
12,04,1997,0.0
12,05,1997,0.0
12,06,1997,0.0
12,07,1997,0.0
12,08,1997,0.0
12,09,1997,0.0
12,10,1997,0.0
12,11,1997,0.0
12,12,1997,6.0
12,13,1997,0.0
12,14,1997,0.0
12,15,1997,0.0
12,16,1997,0.5
12,17,1997,0.0
12,18,1997,0.0
12,19,1997,0.0
12,20,1997,0.0
12,21,1997,0.0
12,22,1997,0.0
12,23,1997,0.0
12,24,1997,0.0
12,25,1997,0.0
12,26,1997,0.0
12,27,1997,null
12,28,1997,null
12,29,1997,null
12,30,1997,null
12,31,1997,null
01,01,1998,0.0
01,02,1998,0.0
01,03,1998,0.0
01,04,1998,0.0
01,05,1998,0.0
01,06,1998,0.0
01,07,1998,0.0
01,08,1998,0.0
01,09,1998,0.0
01,10,1998,0.0
01,11,1998,0.0
01,12,1998,0.0
01,13,1998,0.0
01,14,1998,0.0
01,15,1998,0.0
01,16,1998,0.0
01,17,1998,0.0
01,18,1998,0.0
01,19,1998,0.0
01,20,1998,0.0
01,21,1998,0.0
01,22,1998,0.0
01,23,1998,0.0
01,24,1998,0.0
01,25,1998,0.0
01,26,1998,0.0
01,27,1998,0.0
01,28,1998,0.0
01,29,1998,0.0
01,30,1998,0.0
01,31,1998,0.0
02,01,1998,0.0
02,02,1998,0.0
02,03,1998,0.0
02,04,1998,0.0
02,05,1998,0.0
02,06,1998,0.0
02,07,1998,0.0
02,08,1998,0.0
02,09,1998,0.0
02,10,1998,0.0
02,11,1998,0.0
02,12,1998,0.0
02,13,1998,0.0
02,14,1998,5.0
02,15,1998,0.0
02,16,1998,0.0
02,17,1998,0.0
02,18,1998,0.0
02,19,1998,0.0
02,20,1998,0.0
02,21,1998,0.0
02,22,1998,0.0
02,23,1998,0.0
02,24,1998,0.0
02,25,1998,0.0
02,26,1998,0.0
02,27,1998,0.0
02,28,1998,0.0
03,01,1998,0.0
03,02,1998,0.0
03,03,1998,0.0
03,04,1998,0.0
03,05,1998,0.0
03,06,1998,0.0
03,07,1998,0.0
03,08,1998,0.0
03,09,1998,0.0
03,10,1998,0.0
03,11,1998,0.0
03,12,1998,0.0
03,13,1998,0.0
03,14,1998,0.0
03,15,1998,0.0
03,16,1998,0.0
03,17,1998,0.0
03,18,1998,0.0
03,19,1998,0.0
03,20,1998,0.0
03,21,1998,0.0
03,22,1998,0.0
03,23,1998,0.0
03,24,1998,0.0
03,25,1998,0.0
03,26,1998,0.0
03,27,1998,0.0
03,28,1998,0.0
03,29,1998,0.0
03,30,1998,0.0
03,31,1998,0.0
04,01,1998,0.0
04,02,1998,0.0
04,03,1998,0.0
04,04,1998,0.0
04,05,1998,0.0
04,06,1998,0.0
04,07,1998,0.0
04,08,1998,0.0
04,09,1998,0.0
04,10,1998,0.0
04,11,1998,0.0
04,12,1998,0.0
04,13,1998,0.0
04,14,1998,0.0
04,15,1998,0.0
04,16,1998,0.0
04,17,1998,0.0
04,18,1998,0.0
04,19,1998,0.0
04,20,1998,0.0
04,21,1998,0.0
04,22,1998,0.0
04,23,1998,0.0
04,24,1998,0.0
04,25,1998,0.0
04,26,1998,0.0
04,27,1998,0.0
04,28,1998,0.0
04,29,1998,0.0
04,30,1998,0.0
05,01,1998,0.0
05,02,1998,0.0
05,03,1998,0.0
05,04,1998,0.0
05,05,1998,0.0
05,06,1998,0.0
05,07,1998,0.0
05,08,1998,0.0
05,09,1998,0.0
05,10,1998,0.0
05,11,1998,0.0
05,12,1998,0.0
05,13,1998,0.0
05,14,1998,0.0
05,15,1998,0.0
05,16,1998,0.0
05,17,1998,0.0
05,18,1998,0.0
05,19,1998,0.0
05,20,1998,0.0
05,21,1998,0.0
05,22,1998,0.0
05,23,1998,0.0
05,24,1998,0.0
05,25,1998,0.0
05,26,1998,0.0
05,27,1998,0.0
05,28,1998,0.0
05,29,1998,0.0
05,30,1998,0.0
05,31,1998,0.0
06,01,1998,0.0
06,02,1998,0.0
06,03,1998,0.0
06,04,1998,0.0
06,05,1998,0.0
06,06,1998,5.0
06,07,1998,5.0
06,08,1998,0.0
06,09,1998,11.0
06,10,1998,0.0
06,11,1998,1.0
06,12,1998,0.0
06,13,1998,0.0
06,14,1998,12.0
06,15,1998,0.0
06,16,1998,1.5
06,17,1998,0.0
06,18,1998,0.0
06,19,1998,0.0
06,20,1998,0.0
06,21,1998,4.3
06,22,1998,0.0
06,23,1998,0.0
06,24,1998,0.0
06,25,1998,0.0
06,26,1998,0.0
06,27,1998,0.0
06,28,1998,0.0
06,29,1998,0.0
06,30,1998,0.0
07,01,1998,2.0
07,02,1998,28.0
07,03,1998,0.5
07,04,1998,0.0
07,05,1998,0.0
07,06,1998,4.0
07,07,1998,0.0
07,08,1998,0.0
07,09,1998,4.5
07,10,1998,0.0
07,11,1998,0.0
07,12,1998,3.2
07,13,1998,6.8
07,14,1998,8.2
07,15,1998,3.5
07,16,1998,0.0
07,17,1998,0.0
07,18,1998,0.0
07,19,1998,21.0
07,20,1998,0.0
07,21,1998,13.5
07,22,1998,0.0
07,23,1998,7.5
07,24,1998,0.0
07,25,1998,0.0
07,26,1998,3.0
07,27,1998,0.0
07,28,1998,0.0
07,29,1998,0.0
07,30,1998,1.3
07,31,1998,0.0
08,01,1998,0.0
08,02,1998,0.0
08,03,1998,0.0
08,04,1998,2.2
08,05,1998,34.0
08,06,1998,0.3
08,07,1998,12.5
08,08,1998,13.2
08,09,1998,9.5
08,10,1998,0.0
08,11,1998,0.0
08,12,1998,0.0
08,13,1998,0.0
08,14,1998,0.0
08,15,1998,10.0
08,16,1998,15.7
08,17,1998,1.0
08,18,1998,3.0
08,19,1998,0.0
08,20,1998,0.0
08,21,1998,0.0
08,22,1998,2.0
08,23,1998,0.0
08,24,1998,0.9
08,25,1998,2.0
08,26,1998,6.8
08,27,1998,0.3
08,28,1998,0.0
08,29,1998,0.0
08,30,1998,0.0
08,31,1998,0.0
09,01,1998,11.6
09,02,1998,0.0
09,03,1998,1.0
09,04,1998,0.0
09,05,1998,0.0
09,06,1998,0.0
09,07,1998,3.5
09,08,1998,8.4
09,09,1998,0.0
09,10,1998,0.0
09,11,1998,0.0
09,12,1998,3.8
09,13,1998,0.0
09,14,1998,0.0
09,15,1998,0.0
09,16,1998,0.0
09,17,1998,0.0
09,18,1998,0.0
09,19,1998,0.0
09,20,1998,0.0
09,21,1998,0.0
09,22,1998,1.6
09,23,1998,0.0
09,24,1998,12.3
09,25,1998,4.0
09,26,1998,0.0
09,27,1998,0.3
09,28,1998,0.0
09,29,1998,1.4
09,30,1998,0.0
10,01,1998,11.5
10,02,1998,1.0
10,03,1998,0.0
10,04,1998,3.0
10,05,1998,0.0
10,06,1998,0.0
10,07,1998,0.0
10,08,1998,0.0
10,09,1998,0.0
10,10,1998,0.0
10,11,1998,0.0
10,12,1998,0.0
10,13,1998,0.0
10,14,1998,0.0
10,15,1998,0.0
10,16,1998,0.0
10,17,1998,0.0
10,18,1998,12.0
10,19,1998,0.0
10,20,1998,0.0
10,21,1998,3.1
10,22,1998,0.0
10,23,1998,0.0
10,24,1998,0.0
10,25,1998,15.0
10,26,1998,2.0
10,27,1998,0.0
10,28,1998,1.0
10,29,1998,0.0
10,30,1998,0.0
10,31,1998,0.0
11,01,1998,0.0
11,02,1998,0.0
11,03,1998,0.0
11,04,1998,0.0
11,05,1998,0.0
11,06,1998,0.0
11,07,1998,0.0
11,08,1998,0.0
11,09,1998,0.0
11,10,1998,0.0
11,11,1998,1.4
11,12,1998,0.0
11,13,1998,0.0
11,14,1998,0.0
11,15,1998,0.0
11,16,1998,0.0
11,17,1998,0.0
11,18,1998,0.0
11,19,1998,0.0
11,20,1998,0.0
11,21,1998,0.0
11,22,1998,0.0
11,23,1998,0.0
11,24,1998,0.0
11,25,1998,0.0
11,26,1998,0.0
11,27,1998,0.0
11,28,1998,0.0
11,29,1998,0.0
11,30,1998,0.0
12,01,1998,0.0
12,02,1998,0.0
12,03,1998,0.0
12,04,1998,0.0
12,05,1998,0.0
12,06,1998,0.0
12,07,1998,0.0
12,08,1998,0.0
12,09,1998,0.0
12,10,1998,0.0
12,11,1998,0.0
12,12,1998,0.0
12,13,1998,0.0
12,14,1998,0.0
12,15,1998,0.0
12,16,1998,0.0
12,17,1998,0.0
12,18,1998,0.0
12,19,1998,0.0
12,20,1998,0.0
12,21,1998,0.0
12,22,1998,0.0
12,23,1998,0.0
12,24,1998,0.0
12,25,1998,0.0
12,26,1998,0.0
12,27,1998,0.0
12,28,1998,0.0
12,29,1998,0.0
12,30,1998,0.0
12,31,1998,0.0
01,01,1999,null
01,02,1999,null
01,03,1999,null
01,04,1999,null
01,05,1999,null
01,06,1999,null
01,07,1999,null
01,08,1999,null
01,09,1999,null
01,10,1999,null
01,11,1999,null
01,12,1999,null
01,13,1999,null
01,14,1999,null
01,15,1999,null
01,16,1999,null
01,17,1999,null
01,18,1999,null
01,19,1999,null
01,20,1999,null
01,21,1999,null
01,22,1999,null
01,23,1999,null
01,24,1999,null
01,25,1999,null
01,26,1999,null
01,27,1999,null
01,28,1999,null
01,29,1999,null
01,30,1999,null
01,31,1999,null
02,01,1999,0.0
02,02,1999,0.0
02,03,1999,0.0
02,04,1999,0.0
02,05,1999,0.0
02,06,1999,0.0
02,07,1999,0.0
02,08,1999,0.0
02,09,1999,0.0
02,10,1999,0.0
02,11,1999,0.0
02,12,1999,0.0
02,13,1999,0.0
02,14,1999,0.0
02,15,1999,0.0
02,16,1999,0.0
02,17,1999,0.0
02,18,1999,0.0
02,19,1999,0.0
02,20,1999,0.0
02,21,1999,0.0
02,22,1999,0.0
02,23,1999,0.0
02,24,1999,0.0
02,25,1999,0.0
02,26,1999,0.0
02,27,1999,0.0
02,28,1999,0.0
03,01,1999,0.0
03,02,1999,0.0
03,03,1999,0.0
03,04,1999,0.0
03,05,1999,0.0
03,06,1999,0.0
03,07,1999,0.0
03,08,1999,0.0
03,09,1999,0.0
03,10,1999,0.0
03,11,1999,0.0
03,12,1999,0.0
03,13,1999,0.0
03,14,1999,0.0
03,15,1999,0.0
03,16,1999,0.0
03,17,1999,0.0
03,18,1999,0.0
03,19,1999,0.0
03,20,1999,0.0
03,21,1999,0.0
03,22,1999,0.0
03,23,1999,0.0
03,24,1999,0.0
03,25,1999,0.0
03,26,1999,0.0
03,27,1999,0.0
03,28,1999,0.0
03,29,1999,0.0
03,30,1999,0.0
03,31,1999,0.0
04,01,1999,0.0
04,02,1999,0.0
04,03,1999,0.0
04,04,1999,0.0
04,05,1999,0.0
04,06,1999,0.0
04,07,1999,0.0
04,08,1999,0.0
04,09,1999,0.0
04,10,1999,0.0
04,11,1999,0.0
04,12,1999,2.0
04,13,1999,0.0
04,14,1999,0.0
04,15,1999,0.0
04,16,1999,0.0
04,17,1999,0.0
04,18,1999,0.0
04,19,1999,0.0
04,20,1999,0.0
04,21,1999,0.0
04,22,1999,0.0
04,23,1999,0.0
04,24,1999,0.0
04,25,1999,0.0
04,26,1999,0.0
04,27,1999,0.0
04,28,1999,0.0
04,29,1999,0.0
04,30,1999,0.0
05,01,1999,0.0
05,02,1999,0.0
05,03,1999,0.0
05,04,1999,0.0
05,05,1999,0.0
05,06,1999,0.0
05,07,1999,0.0
05,08,1999,0.0
05,09,1999,0.0
05,10,1999,0.0
05,11,1999,0.0
05,12,1999,0.0
05,13,1999,0.0
05,14,1999,0.0
05,15,1999,0.0
05,16,1999,0.0
05,17,1999,0.0
05,18,1999,0.0
05,19,1999,0.0
05,20,1999,0.0
05,21,1999,0.0
05,22,1999,0.0
05,23,1999,0.0
05,24,1999,0.0
05,25,1999,0.0
05,26,1999,0.0
05,27,1999,0.0
05,28,1999,0.0
05,29,1999,0.0
05,30,1999,0.0
05,31,1999,0.0
06,01,1999,0.0
06,02,1999,0.0
06,03,1999,0.0
06,04,1999,0.0
06,05,1999,0.0
06,06,1999,0.0
06,07,1999,18.0
06,08,1999,0.0
06,09,1999,3.0
06,10,1999,0.0
06,11,1999,2.0
06,12,1999,0.0
06,13,1999,0.0
06,14,1999,3.2
06,15,1999,1.0
06,16,1999,0.0
06,17,1999,0.0
06,18,1999,0.0
06,19,1999,0.0
06,20,1999,20.0
06,21,1999,5.0
06,22,1999,0.0
06,23,1999,0.0
06,24,1999,9.0
06,25,1999,18.0
06,26,1999,3.3
06,27,1999,1.0
06,28,1999,0.0
06,29,1999,0.0
06,30,1999,0.0
07,01,1999,0.0
07,02,1999,7.1
07,03,1999,14.0
07,04,1999,14.5
07,05,1999,12.2
07,06,1999,2.0
07,07,1999,0.0
07,08,1999,0.0
07,09,1999,0.0
07,10,1999,6.0
07,11,1999,9.0
07,12,1999,0.0
07,13,1999,0.0
07,14,1999,0.0
07,15,1999,0.0
07,16,1999,1.5
07,17,1999,7.0
07,18,1999,7.5
07,19,1999,13.0
07,20,1999,8.7
07,21,1999,0.0
07,22,1999,20.0
07,23,1999,0.0
07,24,1999,0.0
07,25,1999,12.2
07,26,1999,2.5
07,27,1999,0.0
07,28,1999,0.0
07,29,1999,0.0
07,30,1999,0.0
07,31,1999,0.0
08,01,1999,0.0
08,02,1999,0.0
08,03,1999,0.0
08,04,1999,0.0
08,05,1999,0.0
08,06,1999,5.0
08,07,1999,9.2
08,08,1999,4.5
08,09,1999,17.0
08,10,1999,1.0
08,11,1999,0.0
08,12,1999,0.0
08,13,1999,0.0
08,14,1999,0.0
08,15,1999,0.0
08,16,1999,0.0
08,17,1999,4.5
08,18,1999,0.0
08,19,1999,0.0
08,20,1999,0.0
08,21,1999,6.7
08,22,1999,15.0
08,23,1999,0.0
08,24,1999,0.5
08,25,1999,7.0
08,26,1999,0.0
08,27,1999,0.0
08,28,1999,0.0
08,29,1999,11.0
08,30,1999,2.3
08,31,1999,1.3
09,01,1999,0.0
09,02,1999,0.9
09,03,1999,0.0
09,04,1999,0.0
09,05,1999,4.0
09,06,1999,1.5
09,07,1999,0.0
09,08,1999,34.0
09,09,1999,3.0
09,10,1999,0.0
09,11,1999,1.6
09,12,1999,0.0
09,13,1999,0.0
09,14,1999,0.0
09,15,1999,0.0
09,16,1999,0.0
09,17,1999,2.0
09,18,1999,1.7
09,19,1999,21.0
09,20,1999,0.0
09,21,1999,0.0
09,22,1999,0.0
09,23,1999,0.0
09,24,1999,0.0
09,25,1999,0.0
09,26,1999,0.0
09,27,1999,0.0
09,28,1999,0.0
09,29,1999,0.0
09,30,1999,0.0
10,01,1999,0.0
10,02,1999,0.0
10,03,1999,0.0
10,04,1999,0.0
10,05,1999,0.0
10,06,1999,0.0
10,07,1999,0.0
10,08,1999,0.0
10,09,1999,0.0
10,10,1999,0.0
10,11,1999,0.0
10,12,1999,2.5
10,13,1999,0.0
10,14,1999,0.0
10,15,1999,0.0
10,16,1999,0.0
10,17,1999,0.0
10,18,1999,0.0
10,19,1999,0.0
10,20,1999,0.0
10,21,1999,0.0
10,22,1999,0.0
10,23,1999,0.0
10,24,1999,0.0
10,25,1999,0.0
10,26,1999,0.0
10,27,1999,0.0
10,28,1999,0.0
10,29,1999,0.0
10,30,1999,0.0
10,31,1999,0.0
11,01,1999,0.0
11,02,1999,0.0
11,03,1999,0.0
11,04,1999,0.0
11,05,1999,0.0
11,06,1999,0.0
11,07,1999,0.0
11,08,1999,0.0
11,09,1999,0.0
11,10,1999,0.0
11,11,1999,0.0
11,12,1999,0.0
11,13,1999,0.0
11,14,1999,0.0
11,15,1999,0.0
11,16,1999,0.0
11,17,1999,0.0
11,18,1999,0.0
11,19,1999,0.0
11,20,1999,0.0
11,21,1999,0.0
11,22,1999,0.0
11,23,1999,0.0
11,24,1999,0.0
11,25,1999,0.0
11,26,1999,0.0
11,27,1999,0.0
11,28,1999,0.0
